switch_new_import_skill,使用默认技能设定,Use Default Skills,デフォルトのスキルを使用する,Standardfähigkeiten verwenden,Utiliser les compétences par défaut,Usar habilidades por defecto,Использовать стандартные навыки,ใช้ทักษะเริ่มต้น,기본 스킬 사용,استخدام المهارات الافتراضية,Usa Abilità Predefinite,Usar Habilidades Padrão
switch_object_light,角色及互通物体发光,Enable Human and Object Light,人物およびオブジェクトライトを有効にする,Human- und Objektlicht aktivieren,Activer la lumière humaine et objet,Habilitar luz de personaje y objeto,Включить освещение для человека и объекта,เปิดใช้งานแสงมนุษย์และวัตถุ,인물 및 물체 조명 활성화,تمكين إضاءة الإنسان والكائن,Abilita Luce per Umani e Oggetti,Habilitar Luz Humana e de Objetos
switch_off,关,Off,オフ,Aus,Désactivé,Apagado,Выключено,ปิด,끄기,إيقاف,Spento,Desligado
switch_on,开,On,オン,An,Démarré,Encendido,Включено,เปิด,켜기,تشغيل,Acceso,Ligado
switch_paint_alpha,笔刷透明度,Transparency,ブラシの透明度,Transparenz des Pinsels,Transparence du pinceau,Transparencia del pincel,Прозрачность кисти,ความโปร่งใสของแปรง,붓 투명도,شفافية الفرشاة,Trasparenza del Pennello,Transparência do Pincel
switch_paint_color,颜色,Color,色,Farbe,Couleur,Color,Цвет,สี,색상,لون,Colore,Cor
switch_paint_tolerance,容差,Tolerance,許容差,Toleranz,Tolérance,Tolerancia,Допуск,ความเหมาะสม,허용 범위,التسامح,Tolleranza,Tolerância
switch_paint_zoom,缩放,Zoom,ズーム,Zoom,Zoom,Zoom,Масштаб,ซูม,줌,تكبير,Zoom,Zoom
switch_pass_show,显示通道,Show Passage,通路を表示,Passage anzeigen,Afficher le passage,Mostrar paso,Показать проход,แสดงทางผ่าน,통로 표시,عرض الممر,Mostra Passaggio,Mostrar Passagem
switch_pixelqulity,像素质量,Pixel Quanlity,ピクセル品質,Pixelqualität,Qualité des pixels,Calidad de píxeles,Качество пикселей,คุณภาพพิกเซล,픽셀 품질,جودة البكسل,Qualità Pixel,Qualidade de Pixel
switch_pixelqulity_bar0,模糊,Blurred,ぼかし,Verwischt,Flou,Borroso,Размыто,เบลอ,흐림,غير واضح,Sfocato,Desfocado
switch_pixelqulity_bar1,非常低,Very Low,非常に低い,Sehr niedrig,Très bas,Very Low,Очень низкое,น้อยมาก,매우 낮음,جداً منخفض,Very Low,Muito Baixo
switch_pixelqulity_bar2,低,Low,低い,Niedrig,Bas,Bajo,Низкое,ต่ำ,낮음,منخفض,Low,Baixo
switch_pixelqulity_bar3,中低,Medium Low,中程低,Medium Low,moyenne basse,Medio Bajo,среднее низкое,ปานกลางต่ำ,중간 낮음,متوسط منخفض,Medio Basso,Médio Baixo
switch_pixelqulity_bar4,一般,Medium,一般,Medium,moyen,Moderado,средний,ปานกลาง,중간,متوسط,Medio,Normal
switch_pixelqulity_bar5,清晰,Sharp,鮮明,Scharf,net,Claro,острый,ชัดเจน,선명한,حاد,Nitido,Claro
switch_pixelqulity_bar6,非常清晰,Very Sharp,非常清晰,Sehr Scharf,Très net,Very Sharp,очень четкий,อย่างชัดเจนมาก,매우 선명한,جدا حاد,Molto Nitido,Muito Nítido
switch_platform_direction_bar0,不移动,Not Moving,移動しない,Bewegt sich nicht,Ne bouge pas,No se mueve,Не двигается,ไม่เคลื่อนไหว,움직이지 않음,لا يتحرك,Non si muove,Não se Move
switch_platform_direction_bar1,向右移动,Moving Right,右に移動,Moviert nach rechts,Déplacement vers la droite,Movimiento a la derecha,Двигается вправо,เคลื่อนที่ไปทางขวา,오른쪽으로 이동,التحرك إلى اليمين,Spostamento a destra,Movendo para a Direita
switch_platform_direction_bar2,向左移动,Moving Left,左に移動,Moviert nach links,Déplacement vers la gauche,Movimiento a la izquierda,Двигается влево,เคลื่อนที่ไปทางซ้าย,왼쪽으로 이동,التحرك إلى اليسار,Spostamento a sinistra,Movendo para a Esquerda
switch_playloop,循环,Loop,ループ,Loop,Boucle,Bucle,Цикл,ลูป,루프,تكرار,Ciclo,Loop
switch_pointerstyle,路标样式,Pointer Style,ポインタースタイル,Pointerstil,Style de pointeur,Estilo de puntero,Стиль указателя,สไตล์ของตัวชี้,포인터 스타일,نمط المؤشر,Stile del puntatore,Estilo do Ponteiro
switch_popup,弹出方式,Pop-up Method,ポップアップ方法,Pop-up-Methode,Méthode de pop-up,Método emergente,Метод всплывающего окна,วิธีป๊อปอัพ,팝업 방법,طريقة الظهور المنبثقة,Modalità pop-up,Método Pop-up
switch_popup_auto,自动弹出,Auto,自動,Auto,Automatique,Automático,Автоматически,อัตโนมัติ,자동,تلقائيًا,Auto,Automático
switch_popup_manual,手动按键,Manual,手動,Manuell,Manuel,Manual,Ручной,ควบคุมด้วยตัวเอง,수동,يدويًا,Manuale,Manual
switch_portal_close,传送后关闭,Close after transport,転送後に閉じる,Nach dem Transport schließen,Fermer après le transport,Cerrar después del transporte,Закрыть после транспортировки,ปิดหลังจากการถ่ายโอน,전송 후 닫기,إغلاق بعد النقل,Chiudere dopo il trasporto,Fechar após o transporte
switch_press,手动(空格),By Space,スペースキーで,Per Leertaste,Par la barre d'espace,Presionar Espacio,Пробел,โดยการกดสเปซ,스페이스 키로,بالمسطرة,Con Barra spaziatrice,Por Espaço
switch_preview_fullscreen,预览时全屏,Fullscreen Preview,フルスクリーンプレビュー,Fullscreen-Vorschau,Aperçu en plein écran,Vista previa a pantalla completa,Полноэкранный просмотр,การดูตัวอย่างแบบเต็มหน้าจอ,전체 화면 미리 보기,عرض مكمل بالشاشة الكاملة,Anteprima a schermo intero,Visualização em Tela Cheia
switch_quest,任务界面,Enable Quest,クエストを有効にする,Quest aktivieren,Activer la quête,Habilitar la misión,Включить задание,เปิดใช้งานเควส,퀘스트 활성화,تمكين المهمة,Abilita la missione,Ativar a Missão
switch_quest_event,仅通过事件领取,Accept through event only,イベントのみで受け入れる,Über das Event akzeptieren,Accepter uniquement via l'événement,Aceptar solo a través del evento,Принимать только через событие,ยอมรับผ่านเหตุการณ์เท่านั้น,이벤트로만 수락,قبول من خلال الحدث فقط,Accetta solo tramite evento,Aceitar apenas por meio do evento
switch_quest_premise,前置事件,Premise Type,前提の種類,Typ der Voraussetzung,Type de prémisse,Tipo de premisa,Тип предпосылки,ประเภทของเงื่อนไข,전제 조건 유형,نوع الظرف,Eventi preesistenti,Eventos pendentes
switch_quest_premise_bar0,无前置事件,No Premise Event,前提イベントなし,Absolutes Fehlen von Voraussetzungen,Aucune prémisse,Ausencia de premisa,Отсутствие предпосылки,ไม่มีเงื่อนไข,전제 이벤트 없음,لا يوجد حدث ظرفي,Evento senza premesse,Sem eventos pendentes
switch_quest_premise_bar1,剧情事件(拔旗),Call from Event,イベントからの呼び出し,Aufruf aus dem Ereignis,Appel depuis un événement,Llamada desde el evento,Вызов из события,การเรียกจากเหตุการณ์,이벤트 호출,الدعوة من الحدث,Chiamata dall'evento,Eventos de plotagem (puxar bandeira)
switch_quest_premise_bar2,任务事件(拔旗),Call from Quest,クエストからの呼び出し,Aufruf aus der Quest,Appel depuis la quête,Llamada desde la misión,Вызов из задания,การเรียกจากเควส,퀘스트에서 호출,الدعوة من المهمة,Chiamata dalla missione,Eventos de Tarefa (Sinalizar Pulling)
switch_quest_redo,失败可重做,Redo after failed,失敗後にやり直す,Nach dem Scheitern erneut versuchen,Réessayer après échec,Reintentar después de fallar,Повторить после неудачи,ลองอีกครั้งหลังจากล้มเหลว,실패한 후에 다시 시도,إعادة المحاولة بعد الفشل,Riprova dopo il fallimento,Repetir após falha
switch_quest_repeatable,可重复任务,Repeatable,繰り返し可能な,Wiederholbar,Répétable,Repetible,Повторяемая,สามารถทำซ้ำได้,반복 가능,متكرر,Ripetibile,Repetível
switch_quest_requirement,任务需求(核算条件),Requirement Type,要求の種類,Anforderungstyp,Type de requête,Tipo de requisito,Тип требования,ประเภทของข้อกำหนด,요구 사항 유형,نوع المتطلبات,Tipo di requisito,Tipo de Requisito
switch_quest_requirement_bar0,无需求,No Premise Event,要求なし,Ausnahmsweise keine Voraussetzungen,Aucune prémisse,Ausencia de requisito,Без требований,ไม่มีข้อกำหนด,요구 사항 없음,بدون متطلبات,Senza Requisiti,Nenhum Requisito
switch_quest_requirement_bar1,剧情事件(拔旗),Call from Event,イベントからの呼び出し,Aufruf aus dem Ereignis,Appel depuis un événement,Llamada desde el evento,Вызов из события,การเรียกจากเหตุการณ์,이벤트 호출,الدعوة من الحدث,Chiamata dall'evento,Eventos de plotagem (puxar bandeira)
switch_quest_requirement_bar2,任务事件(拔旗),Call from Quest,クエストからの呼び出し,Aufruf aus der Quest,Appel depuis la quête,Llamada desde la misión,Вызов из задания,การเรียกจากเควส,퀘스트에서 호출,الدعوة من المهمة,Chiamata dalla missione,Eventos de Tarefa (Sinalizar Pulling)
switch_quest_requirement_bar3,道具(扣除),Items(cost),アイテム（コスト）,Gegenstände(Kosten),Objets(coût),Objetos(coste),Предметы(стоимость),ไอเท็ม(ค่าใช้จ่าย),아이템(비용),العناصر(تكلفة),Oggetti (costo),Itens (custo)
switch_quest_requirement_bar4,全局属性(扣除),General Variables(cost),一般変数（コスト）,Allgemeine Variablen (Kosten),Variables générales (coût),Variables generales (coste),Общие переменные(стоимость),ตัวแปรทั่วไป(ค่าใช้จ่าย),일반 변수(비용),المتغيرات العامة(تكلفة),Variabili generali (costo),Variáveis gerais (custo)
switch_quest_requirement_bar5,全局属性,General Variables,一般変数,Allgemeine Variablen,Variables générales,Variables generales,Общие переменные,ตัวแปรทั่วไป,일반 변수,المتغيرات العامة,Variabili generali,Variáveis gerais
switch_quest_requirement_bar6,自定义变量(扣除),Variables(cost),カスタム変数（コスト）,Benutzerdefinierte Variablen (Kosten),Variables personnalisées (coût),Variables personalizadas (coste),Пользовательские переменные(стоимость),ตัวแปรที่กำหนดเอง(ค่าใช้จ่าย),사용자 지정 변수(비용),المتغيرات المخصصة(تكلفة),Variabili personalizzate (costo),Variáveis personalizadas (custo)
switch_quest_requirement_bar7,自定义变量,Variables,カスタム変数,Benutzerdefinierte Variablen,Variables personnalisées,Variables personalizadas,Пользовательские переменные,ตัวแปรที่กำหนดเอง,사용자 지정 변수,المتغيرات المخصصة,Variabili personalizzate,Variáveis personalizadas
switch_quest_reward,任务奖励,Reward Type,報酬の種類,Belohnungstyp,Type de récompense,Tipo de recompensa,Тип награды,ประเภทของรางวัล,보상 유형,نوع الجائزة,Tipo di ricompensa,Tipo de Recompensa
switch_quest_reward_bar0,无奖励,No Reward,報酬なし,Keine Belohnung,Aucune récompense,Sin recompensa,Без награды,ไม่มีรางวัล,보상 없음,بدون جائزة,Nessuna Ricompensa,Sem Recompensa
switch_quest_reward_bar1,道具奖励,Items,道具報酬,Objekte,Gains d'objets,Recompensas de objetos,Награды за предметы,รางวัลไอเท็ม,아이템 보상,مكافأة الأدوات,Recompense oggetti,Recompensas de Itens
switch_quest_reward_bar2,经验奖励,Exp,経験値報酬,Exp-Erfahrungspunkte,Récompense d'expérience,Recompensa de experiencia,Опыт в награду,รางวัลประสบการณ์,경험치 보상,مكافأة الخبرة,Ricompensa Esperienza,Recompensa de Experiência
switch_quest_reward_bar3,金钱奖励,Money,お金報酬,Geld,Argent,Recompensa en dinero,Деньги в награду,รางวัลเงิน,금전 보상,مكافأة نقدية,Ricompensa in Denaro,Recompensa em Dinheiro
switch_quest_reward_bar4,声望奖励,Fame,名声報酬,Ansehen,Récompense de renommée,Recompensa de fama,Награды за репутацию,รางวัลเกียรติยศ,명성 보상,مكافأة السمعة,Ricompensa Fama,Recompensa de Fama
switch_quest_reward_bar5,道德奖励,Moral,道徳的報酬,Moral,Ethique,Recompensa moral,Мораль в награду,รางวัลความดี,도덕 보상,مكافأة أخلاقية,Ricompensa Morale,Recompensa Moral
switch_quest_reward_bar6,属性点奖励,Attribute Points,属性ポイントの報酬,Attributpunkte,Gains d'attributs,Puntos de atributo,Награды за атрибуты,รางวัลค่าคุณสมบัติ,속성 포인트 보상,مكافأة نقاط السمات,Ricompensa Punti Attributo,Recompensa de Pontos de Atributo
switch_quest_reward_bar7,技能点奖励,Skill Points,スキルポイントの報酬,Fertigkeitspunkte,Points de compétence,Puntos de habilidad,Награды за навыки,รางวัลคะแนนทักษะ,스킬 포인트 보상,مكافأة نقاط المهارة,Ricompensa Punti Abilità,Recompensa de Pontos de Habilidade
switch_quest_reward_bar8,自定义变量,Variables,カスタム変数,Benutzerdefinierte Variablen,Variables personnalisées,Variables personalizadas,Пользовательские переменные,ตัวแปรที่กำหนดเอง,사용자 지정 변수,المتغيرات المخصصة,Variabili personalizzate,Variáveis personalizadas
switch_quest_time_limit,限时任务,Time Limit,タイムリミットミッション,Zeitlimit,Blocage temporel,Límite de tiempo,Ограничение по времени,มีเวลาจำกัด,시한부 퀘스트,مهمة محددة بالزمن,Limite di tempo,Limite de Tempo
switch_quest_time_limit_bar0,不启用,Disable,無効にする,Daktivieren,Désactiver,Deshabilitar,Отключить,ปิดการใช้งาน,비활성화,تعطيل,Disabilita,Desativar
switch_quest_time_limit_bar1,倒计时,Countdown,秒読み,Countdown,Compte à rebours,cuenta regresiva,Обратный отсчет,นับถอยหลัง,카운트다운,العد التنازلي,Conto alla rovescia,Contagem regressiva
switch_quest_time_limit_bar2,指定时间,Specific Time,指定時間,Spezifische Zeit,Heure spécifique,Hora específica,Указанное время,เวลาที่ระบุ,특정 시간,الوقت المحدد,Tempo Specifico,Hora Específica
switch_range,半径,Range,範囲,Reichweite,Portée,Rango,Диапазон,ระยะ,범위,نطاق,Raggio,Alcance
switch_range_1,1倍,1X,1倍,1X,1X,1X,1X,1X,1X,1X,1X,1X
switch_range_1.25,1.25倍,1.25X,1.25倍,1.25X,1.25X,1.25X,1.25X,1.25X,1.25X,1.25X,1.25X,1.25X
switch_range_1.5,1.5倍,1.5X,1.5倍,1.5X,1.5X,1.5X,1.5X,1.5X,1.5X,1.5X,1.5X,1.5X
switch_range_1.75,1.75倍,1.75X,1.75倍,1.75X,1.75X,1.75X,1.75X,1.75X,1.75X,1.75X,1.75X,1.75X
switch_range_2,2倍,2X,2倍,2X,2X,2X,2X,2X,2X,2X,2X,2X
switch_range_2.25,2.25倍,2.25X,2.25倍,2.25X,2.25X,2.25X,2.25X,2.25X,2.25X,2.25X,2.25X,2.25X
switch_range_2.5,2.5倍,2.5X,2.5倍,2.5X,2.5X,2.5X,2.5X,2.5X,2.5X,2.5X,2.5X,2.5X
switch_range_2.75,2.75倍,2.75X,2.75倍,2.75X,2.75X,2.75X,2.75X,2.75X,2.75X,2.75X,2.75X,2.75X
switch_range_3,3倍,3X,3倍,3X,3X,3X,3X,3X,3X,3X,3X,3X
switch_range_show,显示互动范围,Show Interaction Range,インタラクション範囲を表示,Interaktionsbereich anzeigen,Afficher la portée d'interaction,Mostrar rango de interacción,Показать диапазон взаимодействия,แสดงช่วงการกระทำ,상호 작용 범위 표시,عرض نطاق التفاعل,Mostra Raggio Interazione,Mostrar Alcance de Interação
switch_reformteam,解散原始队伍,Reform Team,元のチームを再編成,Team neu formieren,Reformer l'équipe,Reformar equipo,Перераспределить команду,แก้ไขทีม,팀 재구성,إعادة تشكيل الفريق,Riformare il Team,Reformar Equipe
switch_resolution,游戏分辨率,Resolution,ゲームの解像度,Resolution,Résolution,Resolución,Разрешение,ความละเอียด,해상도,القرار,Resolution,Resolução
switch_resource_group,分组,GROUP,リソースグループ,Gruppe,Groupe,Grupo,Группа,กลุ่ม,그룹,مجموعة,Gruppo,Grupo
switch_rest,休息回复,Enable Rest Regenerate,休憩回復を有効にする,Ruhe regenerieren aktivieren,Activer la régénération au repos,Habilitar la regeneración al descanso,Включить восстановление во время отдыха,เปิดใช้งานการฟื้นฟูในระหว่างพักผ่อน,휴식 재생 활성화,تمكين الاستراحة للتجديد,Abilita il Recupero al Riposo,Ativar Regeneração no Descanso
switch_revive_recovery,检查点复活后回复,Recovery After Revive,復活後の回復,Erholung nach der Wiederbelebung,Récupération après la résurrection,Recuperación después de la resurrección,Восстановление после воскрешения,การฟื้นฟูหลังจากการฟื้นคืนชีพ,부활 후 회복,استعادة بعد الإحياء,Recupero dopo la Resurrezione,Recuperação Após Reviver
switch_revive_save,检查点复活后存档,Auto Save After Revive,復活後の自動保存,Automatisches Speichern nach der Wiederbelebung,Sauvegarde automatique après la résurrection,Guardar automáticamente después de la resurrección,Автосохранение после воскрешения,บันทึกอัตโนมัติหลังจากการฟื้นคืนชีพ,부활 후 자동 저장,الحفظ التلقائي بعد الإحياء,Auto Salva Dopo la Resurrezione,Salvar Automaticamente Após Reviver
switch_run_type,奔跑,Running,ランニング,Laufen,Course,Correr,Бег,วิ่ง,달리기,الجري,Correndo,Correndo
switch_run_type_bar0,按住LT,Hold LT,LTを押し続ける,LT gedrückt halten,Maintenir LT,Pulsar LT continuamente,Удерживать LT,กดค้าง LT,LT를 누르고 있기,استمرار الضغط على LT,Tieni premuto LT,Mantenha o LT Pressionado
switch_run_type_bar1,两次方向键,Press direction twice,方向キーを2回押す,Richtungstaste zweimal drücken,Appuyez deux fois sur la direction,Pulsar dirección dos veces,Нажмите дважды на направление,กดทิศทางสองครั้ง,방향을 두 번 누르세요,اضغط على الاتجاه مرتين,Rispetta la direzione due volte,Duas setas do teclado
switch_savemethod,存档方式,Save Method,セーブ方法,Speichermethode,Méthode de sauvegarde,Método de Guardar,Способ сохранения,วิธีการบันทึก,저장 방법,طريقة الحفظ,Modalità di Salvataggio,Método de Salvamento
switch_savemethod_auto,自动存档,Auto Save,自動セーブ,Auto Speichern,Sauvegarde automatique,Guardado automático,Автосохранение,บันทึกอัตโนมัติ,자동 저장,الحفظ التلقائي,Salvataggio Automatico,Salvamento Automático
switch_savemethod_menu,开启存档菜单,Save Menu,セーブメニューを開く,Speichermenü öffnen,Ouvrir le menu de sauvegarde,Abrir menú de guardado,Открыть меню сохранения,เปิดเมนูบันทึก,메뉴 저장 열기,فتح قائمة الحفظ,Apri Menu di Salvataggio,Abrir Menu de Salvamento
switch_savepoint_auto,复活后存档,Auto save after revive,復活後に自動保存,Automatische Speicherung nach der Wiederbelebung,Sauvegarde automatique après la résurrection,Guardado automático después de revivir,Автосохранение после воскрешения,บันทึกอัตโนมัติหลังจากการฟื้นคืนชีพ,부활 후 자동 저장,حفظ تلقائي بعد الإحياء,Salvataggio Automatico dopo la Resurrezione,Salvamento Automático após Reviver
switch_score,开启分数,Enable Score,スコアを有効にする,Punktzahl aktivieren,Activer le score,Habilitar la puntuación,Включить счет,เปิดใช้งานคะแนน,스코어 활성화,تمكين النقاط,Abilita il Punteggio,Ativar Pontuação
switch_sell,可以出售,Sell to shop,ショップに売却する,Im Laden verkaufen,Vendre au magasin,Vender a la tienda,Продать в магазине,ขายให้ร้าน,가게에 판매하기,بيع في المتجر,Vendi al Negozio,Vender para a Loja
switch_sfx,启用SFX,Enable SFX,SFXを有効にする,SFX aktivieren,Activer les effets sonores,Habilitar SFX,Включить звуковые эффекты,เปิดใช้งานเอฟเฟกต์เสียง,사운드 효과 활성화,تمكين تأثيرات الصوت,Abilita gli Effetti Sonori,Ativar SFX
switch_shop_discount,可以打折,Discount,割引可能,Discount,Réduction,Descuento,Скидка,ส่วนลด,할인,خصم,Sconto,Serviço
switch_show_cd,技能CD图标,Skill CD,スキルCDアイコン,Fähigkeits-Cooldown-Anzeige,Afficher le CD des compétences,Mostrar el CD de habilidades,Иконка перезарядки навыка,ไอคอน CD ทักษะ,스킬 쿨다운 아이콘,رمز وقت الانتظار للمهارة,Icona CD Abilità,Ícone de CD de Habilidade
switch_show_combo,是否显示连击数,Showing of Combo,コンボの表示,Anzeige des Combos,Affichage du combo,Mostrar combo,Показ комбо,แสดงคอมโบ,콤보 표시,إظهار الكومبو,Visualizzazione Combo,Exibição de Combo
switch_show_damage,是否显示伤害数值,Value of Damage,ダメージの表示,Anzeige des Schadens,Affichage des dégâts,Mostrar el valor del daño,Отображение урона,แสดงค่าความเสียหาย,데미지 표시,إظهار الضرر,Visualizzazione del Danno,Exibição de Dano
switch_show_damage_bar0,始终显示,Always Showing,常に表示,Immer anzeigen,Toujours afficher,Mostrar siempre,Всегда показывать,แสดงเสมอ,항상 표시,دائمًا معروضًا,Mostra Sempre,Mostrar Sempre
switch_show_damage_bar1,不显示,Not Showing,表示しない,Anzeige ausblenden,Ne pas afficher,No mostrar,Не показывать,ไม่แสดง,표시 안 함,لا تعرض,Non Mostrare,Não Mostrar
switch_show_damage_split,伤害显示模式,Damage Showing,ダメージの表示モード,Anzeige des Schadens,Mode d'affichage des dégâts,Modo de mostrar daño,Режим отображения урона,โหมดแสดงความเสียหาย,데미지 표시 모드,وضع عرض الضرر,Modalità di Visualizzazione del Danno,Modo de Exibição de Dano
switch_show_damage_split_bar0,分段伤害,Damage By Hit,分割ダメージ,Schaden pro Treffer,Dégâts par coup,Daño por golpe,Урон за удар,ความเสียหายต่อการโจมตี,히트 당 데미지,الضرر بالضربة,Danno per Colpo,Damage Por Golpe
switch_show_damage_split_bar1,总伤害,Total Damage,合計ダメージ,Summenschaden,Dégâts totaux,Daño total,Общий урон,ความเสียหายรวม,총 데미지,الضرر الإجمالي,Danno Totale,Dano Total
switch_show_hitflash,受伤闪光,Hit Flash,被弾時のフラッシュ,Trefferblitz,Affichage des coups,Flash al ser golpeado,Мерцание при попадании,การแสดงแฟลชเมื่อถูกโจมตี,피격 플래시,وميض عند الإصابة,Flash all'Impatto,Flash de Golpe
switch_show_hitflash_color,闪光颜色,Flash Color,フラッシュの色,Blitzfarbe,Couleur du flash,Color del flash,Цвет мерцания,สีแฟลช,플래시 색상,لون الوميض,Colore del Flash,Cor do Flash
switch_skill,技能界面,Enable Skill,スキルを有効にする,Skill aktivieren,Activer la compétence,Habilitar habilidad,Включить навык,เปิดใช้งานทักษะ,스킬 활성화,تمكين المهارة,Abilita la Skill,Ativar Habilidade
switch_skill_air,空中可以使用,Can be used in air,空中で使用可能,In der Luft verwendbar,Peut être utilisé en l'air,Puede usarse en el aire,Можно использовать в воздухе,สามารถใช้งานได้ในอากาศ,공중에서 사용할 수 있음,يمكن استخدامه في الهواء,Possono essere usati in aria,Pode ser usado no ar
switch_skill_bubble,使用技能时显示技能名称,Show name when using a skill,スキルを使用するときに名前を表示する,Name anzeigen,Montrer le nom lors de l'utilisation d'une compétence,Mostrar el nombre al usar una habilidad,Показывать имя при использовании навыка,แสดงชื่อเมื่อใช้ทักษะ,스킬을 사용할 때 이름 표시,عرض الاسم عند استخدام المهارة,Mostra il nome quando si utilizza una skill,Mostrar nome ao usar uma habilidade
switch_skill_category,技能分类,Category,スキルのカテゴリ,Die Kategorie der Fähigkeit,La catégorie de compétence,Categoría de habilidad,Категория навыка,หมวดหมู่ทักษะ,스킬 카테고리,فئة المهارة,Categoria di Skill,Categoria de Habilidade
switch_skill_combo,是否存在后续连击技能,Does it have Combo Skills,連携スキルがあるかどうか,Hat es Kombinationsfähigkeiten,Dispose-t-il de compétences de combo,Tiene habilidades de combo,Есть ли комбо-навыки,มีทักษะคอมโบหรือไม่,콤보 스킬이 있는지 여부,هل لديها مهارات تكميلية,Ha Abilità di Combo,Existem Habilidades de Combinação
switch_skill_combo_bar0,无连击,No Combo Skill,コンボスキル無し,Keine Kombinationsfähigkeiten,Pas de compétences de combo,Sin habilidades de combo,Нет комбо-навыков,ไม่มีทักษะคอมโบ,콤보 스킬 없음,لا توجد مهارات تكميلية,Senza Abilità di Combo,Sem Habilidades de Combinação
switch_skill_combo_bar1,手动连击,Manual Use Combo Skill,手動でコンボスキルを使用する,Manuelle Verwendung von Kombinationsfähigkeiten,Utilisation manuelle de compétences de combo,Uso manual de habilidades de combo,Ручное использование комбо-навыков,ใช้คอมโบสกิลด้วยตนเอง,수동으로 콤보 스킬 사용,استخدام مهارة تكميلية يدويًا,Utilizzo Manuale di Abilità di Combo,Usar Habilidades de Combinação Manualmente
switch_skill_combo_bar2,自动触发,Auto Use Combo Skill,自動的にコンボスキルを使用する,Automatische Verwendung von Kombinationsfähigkeiten,Utilisation automatique de compétences de combo,Uso automático de habilidades de combo,Автоматическое использование комбо-навыков,ใช้คอมโบสกิลอัตโนมัติ,자동으로 콤보 스킬 사용,استخدام مهارة تكميلية تلقائيًا,Utilizzo Automatico di Abilità di Combo,Usar Habilidades de Combinação Automaticamente
switch_skill_command,出招指令,Skill Command,スキルコマンド,Fähigkeitsbefehl,Commande de compétence,Comando de habilidad,Команда навыка,คำสั่งทักษะ,스킬 명령어,أمر المهارة,Comando Skill,Comando de Habilidade
switch_skill_consume,选择消耗类型,Consume type,消費タイプを選択,Verbrauchstyp auswählen,Sélectionner le type de consommation,Seleccionar tipo de consumo,Выберите тип расхода,เลือกประเภทการใช้,소비 유형 선택,اختيار نوع الاستهلاك,Scegli il Tipo di Consumo,Escolha o Tipo de Consumo
switch_skill_consume_bar0,无消耗,No Cost,消費無し,Keine Kosten,Pas de coût,Sin costo,Нет расходов,ไม่มีค่าใช้จ่าย,비용 없음,بدون تكلفة,Nessun Costo,Sem Custo
switch_skill_consume_bar1,属性,Attribute,属性,Attribut,attribut,Atributo,Атрибут,คุณสมบัติ,속성,خاصية,Attributo,Atributo
switch_skill_consume_bar2,自定义变量,Variable,カスタム変数,Benutzerdefinierte Variablen,Variables personnalisées,Variables personalizadas,Переменная,ตัวแปร,변수,متغير,Variabile,Variável
switch_skill_consume_bar3,道具,Items,道具,Objekte,Objets,Objetos,Предметы,ไอเท็ม,아이템,العناصر,Elementi,Itens
switch_skill_mask_range,判定范围(SRPG),Collision Range(SRPG),判定範囲(SRPG),Kollisionsbereich(SRPG),Plage de collision(SRPG),Rango de colisión(SRPG),Зона столкновения(SRPG),ระยะการชน(SRPG),충돌 범위(SRPG),نطاق التصادم(SRPG),Raggio di Collisione(SRPG),Faixa de Colisão(SRPG)
switch_skill_menu,通过菜单可用,Can be used through menu,メニューから使用可能,Über das Menü verwendbar,Peut être utilisé via le menu,Puede usarse a través del menú,Можно использовать через меню,สามารถใช้ผ่านเมนูได้,메뉴를 통해 사용 가능,يمكن استخدامه عبر القائمة,È utilizzabile tramite il menu,Pode ser usado através do menu
switch_skill_requirement,技能释放条件(变装),Requirements(Outfit),スキルの発動条件（アウトフィット）,Anforderungen (Outfit),Exigences (Tenue),Requisitos (Atuendo),Требования (Костюм),เงื่อนไขการใช้ทักษะ (เสื้อผ้า),스킬 사용 요구 사항 (의상),متطلبات استخدام المهارة (زي),Requisiti (Abbigliamento),Requisitos (Roupa)
switch_skill_requirement_bar0,无,None,なし,Keine,Aucune,Ninguno,Нет,ไม่มี,없음,لا شيء,Nessuno,Nenhum
switch_skill_requirement_bar1,空手,Bare Hands,素手,Leere Hände,Mains nues,Manos desnudas,Голые руки,มือเปล่า,맨손,بدون أي شيء,Vuote,Às Mãos Nuas
switch_skill_requirement_bar2,冷兵器,Cold Weapon,冷兵器,Stumpfe Waffe,Arme blanche,Arma fría,Холодное оружие,อาวุธเย็น,무기,سلاح بارد,Arma Fredda,Arma Fria
switch_skill_requirement_bar3,热兵器,Fire Weapon,火器,Feuerwaffe,Arme à feu,Arma de fuego,Огнестрельное оружие,อาวุธไฟ,화기,سلاح ناري,Arma da Fuoco,Arma de Fogo
switch_skill_rpg_target,攻击单位(RPG),Attack units(RPG),攻撃対象（RPG）,Angriffsziele (RPG),Unités d'attaque (RPG),Atacar unidades (RPG),Атаковать юнитов (RPG),โจมตีหน่วย (RPG),공격 대상( SRPG),هجوم الوحدات (RPG),Attaccare le unità (RPG),Atacar unidades (RPG)
switch_skill_rpg_target_bar0,单一敌人,Single Target,単一のターゲット,Einzelziel,Cible unique,Objetivo único,Один цель,เป้าหมายเดี่ยว,단일 대상,هدف واحد,Obiettivo Singolo,Alvo Único
