LANGUAGE,简体中文,ENGLISH,日本語,Deutsch,Français,Español,Русский язык,ภาษาไทย,한국어,اللغة العربية,Italiano,português
STRINGRMULTI,群体,MULTI-,マルチ-,Kolonie,Kolonie,colonia,мульти-,หลาย-,다중-,متعدد-,Multiplo-,Múltiplo-
STRINGSAVE,保存,SAVE,保存,SPEICHERN,Enregistrer,Guardar,сохранить,บันทึก,저장,حفظ,Salva,Salvar
STRINGSAVEDISABLED,当前无法存档,CANNOT SAVE AT THIS MOMENT,現在セーブできません,DERZEIT SPEICHERN NICHT MÖGLICH,Impossible de sauvegarder,NO SE PUEDE GUARDAR EN ESTE MOMENTO,нельзя сохранить в данный момент,ไม่สามารถบันทึกในขณะนี้,지금은 저장할 수 없습니다,لا يمكن الحفظ في هذه اللحظة,Impossibile salvare in questo momento,Não é possível salvar neste momento
STRINGSELECT,选择,SELECT,選択,auswählen,Sélectionner,Seleccionar,выбрать,เลือก,선택,اختيار,Seleziona,Selecionar
STRINGSKILL,技能,SKILLS,スキル, FÄHIGKEIT,Compétences,Habilidades,навыки,ทักษะ,기술,مهارات,Abilità,Habilidades
STRINGSTANDBY,待命,STAND BY,待機,IN BEREITSCHAFT,Mise en veille,En espera,готовность,พร้อม,대기,جاهز,In attesa,Em espera
STRINGSWITCHOFF,关闭开关,SWITCH OFF,スイッチを切る,AUSSCHALTEN,Éteindre,Apagar,выключить,ปิด,끄기,أطفئ,Spegni,Desligar
STRINGSWITCHON,打开开关,SWITCH ON,スイッチを入れる,EINSCHALTEN,Allumer,Encender,включить,เปิด,켜기,تشغيل,Accendi,ligar
STRINGTALK,对话,TALK,話す,SPRECHEN,Parler,Hablar,говорить,พูด,대화,تحدث,Parlare,Falar
STRINGTIMEDEADLINE,截止时间,DEADLINE,期限,TERMIN,Date limite,Fecha límite,крайний срок,กำหนดเวลา,마감일,الموعد النهائي,Scadenza,Prazo limite
STRINGTIMELEFT,剩余时间,TIME LEFT,残り時間,VERBLEIBENDE ZEIT,Temps restant,Tiempo restante,осталось времени,เวลาที่เหลือ,남은 시간,الوقت المتبقي,Tempo rimasto,Tempo restante
STRINGTIMELIMIT,时间限定,TIME LIMIT,制限時間,ZEITLIMIT,Limite de temps,Límite de tiempo,ограничение по времени,จำกัดเวลา,시간 제한,الحد الزمني,Limite di tempo,Limite de tempo
STRINGTODAY,今天,TODAY,今日,HEUTE,Aujourd'hui,Hoy,сегодня,วันนี้,오늘,اليوم,Oggi,Hoje
STRINGTRADE,交易,TRADE,取引,Handel,Échange,Comercio,сделка,การค้า,교역,تجارة,Commercio,Comércio
TIME,游玩时间,Game Time,ゲーム時間,Spieldauer,Temps de jeu,Tiempo de juego,игровое время,เวลาเล่นเกม,게임 시간,وقت اللعب,Tempo di gioco,Tempo de jogo
VA_NAME0,教程变量,Tutorial Variable,チュートリアル変数,Tutorialvariable,Variable de tutoriel,Variable de tutorial,Переменная учебного материала,ตัวแปรบทแนะนำ,튜토리얼 변수,متغير البرنامج التعليمي,Variable di tutorial,Variável de Tutorial
VA_NAME1,变量1,Variable 1,変数1,Variable 1,Variable 1,Variable 1,Переменная 1,ตัวแปร 1,변수 1,متغير 1,Variable 1,Variável 1
VA_NAME2,变量2,Variable 2,変数2,Variable 2,Variable 2,Variable 2,Переменная 2,ตัวแปร 2,변수 2,متغير 2,Variable 2,Variável 2
VA_NAME3,变量3,Variable 3,変数3,Variable 3,Variable 3,Variable 3,Переменная 3,ตัวแปร 3,변수 3,متغير 3,Variable 3,Variável 3
VA_NAME4,变量4,Variable 4,変数4,Variable 4,Variable 4,Variable 4,Переменная 4,ตัวแปร 4,변수 4,متغير 4,Variable 4,Variável 4
VA_NAME5,变量5,Variable 5,変数5,Variable 5,Variable 5,Variable 5,Переменная 5,ตัวแปร 5,변수 5,متغير 5,Variable 5,Variável 5
VA_NAME6,变量6,Variable 6,変数6,Variable 6,Variable 6,Variable 6,Переменная 6,ตัวแปร 6,변수 6,متغير 6,Variable 6,Variável 6
VA_NAME7,变量7,Variable 7,変数7,Variable 7,Variable 7,Variable 7,Переменная 7,ตัวแปร 7,변수 7,متغير 7,Variable 7,Variável 7
VA_NAME8,变量8,Variable 8,変数8,Variable 8,Variable 8,Variable 8,Переменная 8,ตัวแปร 8,변수 8,متغير 8,Variable 8,Variável 8
VA_NAME9,变量9,Variable 9,変数9,Variable 9,Variable 9,Variable 9,Переменная 9,ตัวแปร 9,변수 9,متغير 9,Variable 9,Variável 9
VA_PROP0,自定义属性0,Custom Property 0,カスタムプロパティ0,Benutzerdefinierte Eigenschaft 0,Propriété personnalisée 0,Propiedad Personalizada 0,Пользовательское свойство 0,คุณสมบัติแบบกำหนดเอง 0,사용자 정의 속성 0,خاصية مخصصة 0,Proprietà Personalizzata 0,Propriedade Personalizada 0
VA_PROP1,自定义属性1,Custom Property 1,カスタムプロパティ1,Benutzerdefinierte Eigenschaft 1,Propriété personnalisée 1,Propiedad Personalizada 1,Пользовательское свойство 1,คุณสมบัติแบบกำหนดเอง 1,사용자 정의 속성 1,خاصية مخصصة 1,Proprietà Personalizzata 1,Propriedade Personalizada 1
VA_PROP2,自定义属性2,Property 2,プロパティ2,Eigenschaft 2,Propriété 2,Propiedad 2,Свойство 2,คุณสมบัติ 2,속성 2,خاصية 2,Proprietà 2,Propriedade 2
VA_PROP3,自定义属性3,Property 3,プロパティ3,Eigenschaft 3,Propriété 3,Propiedad 3,Свойство 3,คุณสมบัติ 3,속성 3,خاصية 3,Proprietà 3,Propriedade 3
VA_PROP4,自定义属性4,Property 4,プロパティ4,Eigenschaft 4,Propriété 4,Propiedad 4,Свойство 4,คุณสมบัติ 4,속성 4,خاصية 4,Proprietà 4,Propriedade 4
VA_PROP5,自定义属性5,Property 5,プロパティ5,Eigenschaft 5,Propriété 5,Propiedad 5,Свойство 5,คุณสมบัติ 5,속성 5,خاصية 5,Proprietà 5,Propriedade 5
VA_PROP6,自定义属性6,Property 6,プロパティ6,Eigenschaft 6,Propriété 6,Propiedad 6,Свойство 6,คุณสมบัติ 6,속성 6,خاصية 6,Proprietà 6,Propriedade 6
VA_PROP7,自定义属性7,Property 7,プロパティ7,Eigenschaft 7,Propriété 7,Propiedad 7,Свойство 7,คุณสมบัติ 7,속성 7,خاصية 7,Proprietà 7,Propriedade 7
VA_PROP8,自定义属性8,Custom Property 8,カスタムプロパティ8,Benutzerdefinierte Eigenschaft 8,Propriété personnalisée 8,Propiedad Personalizada 8,Пользовательское свойство 8,คุณสมบัติแบบกำหนดเอง 8,사용자 정의 속성 8,خاصية مخصصة 8,Proprietà Personalizzata 8,Propriedade Personalizada 8
VA_PROP9,自定义属性9,Custom Property 9,カスタムプロパティ9,Benutzerdefinierte Eigenschaft 9,Propriété personnalisée 9,Propiedad Personalizada 9,Пользовательское свойство 9,คุณสมบัติแบบกำหนดเอง 9,사용자 정의 속성 9,خاصية مخصصة 9,Proprietà Personalizzata 9,Propriedade Personalizada 9
VARIABLE,变量,Variable,変数,Variable,Variable,Variable,Переменная,ตัวแปร,변수,متغير,Variable,Variável
WEIGHT,重量,Weight,重さ,Gewicht,Poids,Peso,Вес,น้ำหนัก,무게,وزن,Peso,Peso
BUTTONHIT,点击,Click,クリック,Klicken,Clique,Clic,Нажать,คลิก,클릭,انقر,Clicca,Clique
MESSAGESTART,开始,Start,开始,Start,Démarrer,Iniciar,Начать,เริ่ม,시작,بدء,Inizia,Iniciar
STRINGINPROGRESS,进行中,IN PROGRESS,進行中,In Bearbeitung,En cours,En progreso,В процессе,กำลังดำเนินการ,진행 중,قيد التقدم,In corso,Em andamento
MINIGAMEROCK,石头,ROCK,石,Fels,Roche,Piedra,Камень,หิน,바위,حجر,Roccia,Pedra
MINIGAMESCISSORS,剪刀,SCISSORS,ハサミ,Schere,Ciseaux,Tijeras,Ножницы,กรรไกร,가위,مقص,Forbici,Tesoura
MINIGAMEPAPER,布,PAPER,布,Papier,Papier,Papel,Бумага,กระดาษ,종이,ورقة,Carta,Papel
MESSAGEWIN,胜利,VICTORY,勝利,Sieg,Victoire,Victoria,Победа,ชัยชนะ,승리,النصر,Vittoria,Vitória
MESSAGELOSE,失败,FAILURE,失敗,Scheitern,Échec,Fracaso,Поражение,ความล้มเหลว,실패,فشل,Fallimento,Fracasso
MINIGAMEGOL,请选择您要猜的结果,Please select the result you want to guess,予想する結果を選択してください,Bitte wählen Sie das Ergebnis aus das Sie erraten möchten,Veuillez sélectionner le résultat que vous souhaitez deviner,
Por favor seleccione el resultado que desea adivinar,Пожалуйста, выберите результат, который вы хотите угадать,โปรดเลือกผลลัพธ์ที่คุณต้องการทาย,원하시는 결과를 선택하세요,يرجى تحديد النتيجة التي ترغب في تخمينها,Si prega di selezionare il risultato che si desidera indovinare,Por favor selecione o resultado que você deseja adivinhar
MINIGAMEGREAT,大,BIG,大きい,groß,grand,grande,большой,ใหญ่,큰,كبير,grande,grande
MINIGAMESMALL,小,SMALL,小さい,klein,petit,pequeño,маленький,เล็ก,작은,صغير,piccolo,pequeno
MINIGAMEMYRESULT,您的结果,YOUR RESULT,あなたの結果,Ihr Ergebnis,Votre résultat,Su resultado,Ваш результат,ผลลัพธ์ของคุณ,당신의 결과,نتيجتك,Il tuo risultato,Seu resultado
MINIGAMEOTHERRESULT,对方结果,OPPONENT'S RESULT,相手の結果,Ergebnis des Gegners,Résultat de l'adversaire,Resultado del oponente,Результат противника,ผลลัพธ์ของคู่ต่อสู้,상대방의 결과,نتيجة الخصم,Risultato dell'avversario,Resultado do oponente
MINIGAMEWIN,您胜出了,YOU WON,あなたが勝ちました,Du hast gewonnen,Vous avez gagné,Has ganado,Вы победили,คุณชนะแล้ว,당신이 이겼어요,لقد فزت,Hai vinto,Você venceu
MINIGAMELOSE,您输了,YOU LOST,あなたが負けました,Du hast verloren,Vous avez perdu,Has perdido,Вы проиграли,คุณแพ้แล้ว,당신이 졌어요,خسرت,Hai perso,Você perdeu
MINIGAMEDRAW,平局,DRAW,引き分けです,Unentschieden,Match nul,Empate,Ничья,เสมอกัน,무승부입니다,تعادل,Hai pareggiato,Empate
MESSAGESTOP,停止,STOP,停止,Anhalten,Arrêter,Detener,Остановить,หยุด,정지,توقف,Fermare,Parar
STRING_RECOVER,恢复, Regenerate,再生, Regenerieren, Régénérer, Regenerar, Регенерировать,สร้างใหม่,재생성하다, إعادة توليد, Rigenerare, Regenerar
MENURECEIVED,获得,Received,受け取った,Empfangen,Reçu,Recibido,Получено,ได้รับ,받음,تلقى,Ricevuto,Recebido
MENULOST,失去,Lost,失う,Verloren,Perdu,Perdido,Потерянный,สูญหาย,잃다,فقد,Perso,Perdido
